hex_id,soft_wheat_area_km2,hard_wheat_area_km2,corn_grain_area_km2,corn_silage_area_km2,barley_area_km2,rapeseed_area_km2,sunflower_area_km2,sugarbeet_area_km2,vineyards_area_km2
1332,NA,NA,NA,NA,NA,NA,NA,NA,NA
1333,NA,NA,NA,NA,NA,NA,NA,NA,NA
1334,NA,NA,NA,NA,NA,NA,NA,NA,NA
1335,NA,NA,NA,NA,NA,NA,NA,NA,NA
1336,NA,NA,NA,NA,NA,NA,NA,NA,NA
1337,NA,NA,NA,NA,NA,NA,NA,NA,0.032
1338,NA,NA,NA,NA,0.034,NA,NA,NA,0.613
1339,NA,NA,NA,NA,0.104,NA,NA,NA,1.449
1340,NA,NA,NA,NA,NA,NA,NA,NA,0.336
1341,NA,NA,NA,NA,0.078,NA,NA,NA,1.215
1342,NA,NA,NA,NA,NA,NA,NA,NA,0.003
1343,0.02116,NA,NA,NA,0.095,NA,NA,NA,1.348
1344,NA,NA,NA,NA,NA,NA,NA,NA,NA
1345,NA,NA,0.005,NA,NA,NA,NA,0.002,1.715
1346,0.02759,NA,NA,NA,0.013,NA,NA,NA,0.046
1347,NA,NA,NA,NA,NA,NA,NA,NA,NA
1348,NA,NA,NA,NA,NA,NA,NA,NA,NA
1349,NA,NA,NA,NA,NA,NA,NA,NA,3.319
1350,NA,NA,NA,NA,NA,NA,NA,NA,NA
1351,NA,NA,NA,NA,0.163,NA,NA,NA,NA
1352,NA,NA,NA,NA,NA,NA,NA,NA,2.053
1353,NA,NA,NA,NA,NA,NA,NA,NA,NA
1354,NA,NA,NA,NA,NA,NA,NA,NA,0.229
1355,NA,NA,NA,NA,NA,NA,NA,NA,0.741
1356,NA,NA,0.425,NA,NA,NA,NA,0.004,7.767
1357,NA,NA,NA,NA,NA,NA,NA,NA,0.787
1358,NA,NA,NA,NA,NA,NA,NA,NA,2.372
1359,NA,NA,NA,NA,NA,NA,NA,NA,NA
1360,NA,NA,0.699,NA,NA,NA,NA,NA,0.961
1361,0.1634,NA,0.552,NA,0.637,NA,NA,NA,10.63
1362,NA,NA,1.465,NA,0.428,NA,NA,NA,1.543
1363,NA,NA,NA,NA,NA,NA,NA,NA,0.243
1364,NA,NA,NA,NA,NA,NA,NA,NA,0.006
1365,0.20588,0.018,2.329,NA,1.08,NA,NA,NA,14.533
1366,NA,0.049,0.457,NA,0.08,NA,NA,NA,0.71
1367,NA,NA,NA,NA,NA,NA,NA,NA,NA
513,167.57918,14.198,15.326,NA,44.844,88.28,0.207,7.123,NA
514,139.45442,6.13,2.279,0.396,47.114,80.757,0.109,5.588,NA
515,126.98017,0.25,3.5380000000000003,2.874,31.397,56.896,0.281,2.187,NA
515,126.98017,0.011,3.5380000000000003,2.874,31.397,56.896,0.281,2.187,NA
535,92.89433,79.574,55.61,0.08,33.162,42.464,0.421,14.028,NA
536,138.57007,8.506,6.33,NA,47.578,74.257,NA,6.75,NA
537,120.26784,1.262,9.95,NA,44.852999999999994,51.126,NA,0.785,NA
537,120.26784,0.272,9.95,NA,44.852999999999994,51.126,NA,0.785,NA
538,106.92478,0.102,7.16,2.516,26.743,33.305,NA,25.231,NA
559,126.38394,61.432,25.48,NA,44.43,64.12,NA,23.709,NA
560,68.71030999999999,1.403,3.872,0.562,34.321,38.54,0.021,1.192,NA
560,68.71030999999999,0.356,3.872,0.562,34.321,38.54,0.021,1.192,NA
561,70.1888,0.982,10.476,1.033,27.347,28.577,0.807,1.639,NA
583,81.85676000000001,100.983,31.1,NA,61.455,25.082,0.086,56.153,NA
584,145.26192,12.949,5.441000000000001,NA,42.904,65.987,0.046,22.422,NA
584,145.26192,5.389,5.441000000000001,NA,42.904,65.987,0.046,22.422,NA
585,88.23428,1.608,15.168,0.441,34.566,44.821,0.045,1.568,NA
586,128.18751,NA,10.767,0.6639999999999999,36.31,41.547,0.139,34.023,NA
609,126.56313,25.523,11.093,0.018,90.905,54.28,0.605,38.278,NA
609,126.56313,4.269,11.093,0.018,90.905,54.28,0.605,38.278,NA
610,50.98482,0.238,9.951,1.165,12.888,23.005,NA,5.51,NA
611,67.40562,0.02,11.561,0.027,23.284,23.4,0.245,14.655,NA
633,105.90102,29.345,10.11,0.465,97.508,22.984,2.484,46.177,NA
634,95.51175,4.224,5.309,NA,43.107,37.13,1.451,20.77,NA
635,13.13147,0.189,4.023,0.811,5.043,5.04,0.034,0.849,NA
636,118.0018,NA,14.578,1.845,30.348,45.73,1.12,27.143,NA
658,112.39093,7.464,5.065,NA,106.141,30.141,1.841,44.064,NA
658,112.39093,3.354,5.065,NA,106.141,30.141,1.841,44.064,NA
659,26.92049,NA,9.657,0.308,11.242,9.254,NA,1.962,NA
660,47.11367,NA,20.105,NA,4.189,11.105,NA,12.611,NA
682,105.30714,13.306,9.312,0.546,129.291,29.252,2.531,54.639,NA
682,105.30714,2.163,9.312,0.546,129.291,29.252,2.531,54.639,NA
683,68.21499,1.305,3.378,NA,40.536,32.477,0.273,12.862,NA
684,0.27598,NA,NA,NA,0.005,NA,NA,NA,NA
685,54.93226,0.06,11.685,0.071,9.557,15.032,0.717,19.23,NA
708,63.109370000000006,1.643,1.284,NA,51.496,20.962,0.127,28.293,NA
709,62.79459,0.163,11.084,NA,19.539,16.764,NA,25.792,NA
710,94.28239,0.074,17.562,0.005,11.184,31.215,0.047,37.735,NA
733,85.63742,3.871,8.635,0.123,81.577,42.435,1.0630000000000002,27.16,NA
733,85.63742,1.416,8.635,0.123,81.577,42.435,1.0630000000000002,27.16,NA
734,53.75825,NA,10.672,NA,23.176,21.357,0.298,13.377,NA
735,38.43697,NA,18.7,1.179,15.462,14.203,NA,6.531,NA
736,118.01697,NA,6.919,0.19,19.176,41.997,0.447,53.359,NA
758,81.45962,0.007,7.447,NA,51.584,41.641,2.621,14.761,NA
759,114.64265,0.296,29.91,0.096,36.488,33.05,0.684,36.652,NA
760,125.94849,NA,11.792,0.307,30.22,40.175,0.398,56.037000000000006,NA
782,106.65949,0.008,14.701,1.414,53.589,71.472,0.863,8.393,NA
783,103.51763,NA,24.324,1.704,38.138,27.788,1.233,21.654,NA
784,116.85958,NA,42.369,1.233,24.255,20.449,0.001,22.458,NA
785,89.06282999999999,NA,2.788,0.64,22.345,27.885,0.587,39.487,NA
805,112.36711,0.284,8.69,0.356,63.84,55.629,6.957,15.933,0.001
806,159.73798,NA,38.66,1.533,36.71,44.404,0.495,33.407,NA
807,97.44569,NA,17.759,2.209,32.726,36.114999999999995,0.517,23.619,1.458
827,70.87113,0.1,13.312,1.63,41.695,47.491,1.23,0.673,0.004
828,107.38423,0.201,15.09,0.989,61.096,42.897000000000006,1.508,21.737,0.004
829,126.72534,NA,31.616,6.686999999999999,42.067,42.439,0.099,8.165000000000001,NA
830,122.1194,NA,9.267,3.424,37.695,41.937,NA,45.571,NA
849,115.17865,0.141,6.434,0.152,77.27,58.59,4.696,14.298,NA
849,115.17865,0.428,6.434,0.152,77.27,58.59,4.696,14.298,NA
850,120.90923,0.16,16.377,1.779,46.48,63.756,0.722,11.621,2.778
851,65.26179,NA,14.771,3.072,32.928,33.464,0.803,6.702999999999999,2.057
869,85.71194,0.04,2.318,1.612,60.943,53.369,4.259,0.232,0.001
869,85.71194,0.098,2.318,1.612,60.943,53.369,4.259,0.232,0.001
870,96.37424,0.043,4.664,0.416,67.291,35.162,1.504,36.231,NA
871,110.36563,0.035,14.732,4.54,42.884,67.299,0.518,9.952,1.493
