hex_id,sm
1332,NA
1333,NA
1334,NA
1335,NA
1336,NA
1337,NA
1338,NA
1339,NA
1340,NA
1341,NA
1342,NA
1343,NA
1344,NA
1345,NA
1346,NA
1347,NA
1348,NA
1349,NA
1350,NA
1351,NA
1352,NA
1353,NA
1354,NA
1355,NA
1356,NA
1357,NA
1358,NA
1359,NA
1360,NA
1361,NA
1362,0.019
1363,NA
1364,NA
1365,NA
1366,NA
1367,NA
513,0.227
514,4.323
515,1.35
535,2.395
536,0.697
537,4.335
538,3.192
559,1.969
560,1.929
561,2.865
583,1.396
584,4.134
585,1.278
586,1.17
609,2.89
610,6.417
611,0.158
633,0.669
634,3.62
635,1.232
636,0.052
658,4.147
659,1.634
660,NA
682,0.947
683,3.588
684,NA
685,0.923
708,0.602
709,0.679
710,0.41
733,1.025
734,1.411
735,0.264
736,0.993
758,4.284
759,2.071
760,0.681
782,2.715
783,2.624
784,4.972
785,NA
805,8.418
806,6.359
807,0.268
827,11.209
828,0.565
829,2.11
830,0.571
849,5.66
850,0.138
851,1.239
869,3.151
870,0.888
871,0.078
872,0.986
516,0.156
517,0.323
518,NA
539,0.199
540,0.246
541,NA
542,NA
562,2.673
563,0.642
564,0.127
565,0.147
566,NA
587,1.614
588,0.429
589,0.019
590,NA
591,NA
612,6.383
613,1.446
614,0.716
615,0.374
616,0.058
637,0.589
638,0.95
639,0.512
640,0.169
641,0.243
661,1.624
662,0.547
663,1.523
664,0.44
665,0.057
686,2.192
687,0.272
688,1.617
689,0.029
690,0.038
711,0.855
712,0.353
713,1.065
714,0.759
715,0.154
716,NA
737,0.972
738,1.838
739,0.466
740,0.454
741,NA
761,0.141
762,0.571
763,0.624
764,1.661
765,NA
786,0.298
787,0.859
788,0.809
789,0.134
808,0.088
809,0.266
810,1.866
811,0.177
812,NA
831,1.222
832,0.013
833,0.468
834,NA
852,0.205
853,0.044
854,0.323
855,0.007
873,0.318
874,0.02
875,0.19
892,0.138
893,1.199
894,0.447
895,0.107
896,NA
912,1.008
913,0.494
914,0.766
915,0.22
916,0.082
932,0.146
933,1.283
934,0.349
935,0.029
951,0.862
952,0.739
953,1.416
954,0.151
955,NA
68,0.137
69,0.031
74,NA
75,NA
76,0.893
82,NA
83,NA
84,NA
85,0.054
86,0.5
91,NA
92,NA
93,NA
94,NA
95,1.196
96,0.379
104,0
105,0.025
106,NA
107,NA
109,NA
110,0.552
111,0.854
112,0.333
119,NA
120,0.082
121,NA
122,0.065
123,NA
124,NA
125,NA
126,0.173
127,NA
128,0.071
129,0.841
137,NA
138,0.178
139,0.116
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,0.041
147,1.777
148,0.69
149,0.335
157,NA
158,0.097
159,0.224
160,NA
161,NA
162,0.413
163,NA
164,0.127
165,0.029
166,1.757
167,2.987
168,0.848
176,NA
177,0.114
178,0.096
179,NA
180,0.209
181,NA
182,NA
183,0.17
184,0.54
185,2.21
186,6.301
187,1.93
188,0.421
196,NA
197,0.182
198,0.324
199,0.339
200,NA
201,NA
202,NA
203,0.132
204,0.261
205,0.477
206,1.2
207,2.405
208,0.834
216,NA
217,0.128
218,0.238
219,NA
220,NA
221,0.04
222,NA
223,0.364
224,0.031
225,4.84
226,2.865
227,1.102
228,0.567
235,NA
236,NA
237,0.194
238,0.212
239,NA
240,NA
241,0.019
242,0.044
243,0.196
244,0.947
245,5.856
246,0.758
247,0.64
254,0.006
255,0.226
256,0.391
257,0.173
258,0.072
259,0.025
260,0.124
261,0.558
262,0.348
263,3.185
264,1.255
265,1.009
266,0.775
273,NA
274,0.026
275,0.967
276,0.762
277,NA
278,0.172
279,0.031
280,0.299
281,0.013
282,1.881
283,2.908
284,0.866
285,0.721
292,NA
293,1.071
294,4.284
295,0.579
296,0.933
297,0.968
298,0.035
299,0.868
300,0.663
301,1.104
302,0.24
303,2.742
304,0.736
311,NA
312,0.007
